"PARAMETERS used:"
" - ELITISM","FALSE"
" - GENERATIONAL","TRUE"
" - Population size","100"
" - Tournament (%)","0.05"
" - Mutation rate (%)","0.05"
"--------------"
"Fitness_value","Individual"
"9921.52","1100101111111000101010101111110001111001110111000000111110011010"
"7011.46","0000101011000010011101011010010000011001111101110101111110001001"
"4767.31","0011101101110010101011000010110100001111010101000111101111011011"
"4099.08","0001101101100010001010011010011101001011110101000110001110011001"
"3623.34","0001101101110010011011001010011101101011101101100110101111010100"
"2743.95","1000101110000010001011001010111000001001111101100111001111010000"
"1332.09","0001100111110110011010101000110000000011110101000010001111010010"
"1047.01","0001101111010110011011001000110000000011110101000011001111010010"
"728.03","0000101111010110011011001010011100001011110101000011001111010010"
"261.16","0000101111110110011011001010011000001011110101100111001111010010"
"178.66","0001101111110110011011001010010000001011110101000111001111010010"
"4.87","0000100111110110011011001010010000001011111101000110001111010010"
"TOTAL GENERATIONS: ","12"
